iter	RMSE
0	0.2829313481
1	0.2828123718
2	0.2827175665
3	0.2826095759
4	0.28255613
5	0.282409676
6	0.2823249212
7	0.2822165408
8	0.2821259215
9	0.2820406063
10	0.2818781065
11	0.2817563009
12	0.2816414963
13	0.281562044
14	0.2814875949
15	0.2813788325
16	0.2812826276
17	0.2811566212
18	0.2810421163
19	0.2809298297
20	0.2808538788
21	0.2808014643
22	0.2807140279
23	0.2806518803
24	0.2805716246
25	0.2804659336
26	0.2803460627
27	0.2802610452
28	0.2801254786
29	0.2800499749
30	0.2799349014
31	0.2798418259
32	0.279777216
33	0.2796532256
34	0.2795836638
35	0.2795034364
36	0.2794398127
37	0.2793090521
38	0.2792649059
39	0.2791700067
40	0.2791120193
41	0.2790286287
42	0.2789667457
43	0.2789619529
44	0.278890396
45	0.2788176586
46	0.2787114017
47	0.2786082188
48	0.2784790615
49	0.278367628
50	0.2782789695
51	0.2781902692
52	0.2781041929
53	0.2780265181
54	0.27795319
55	0.2778632699
56	0.2777685193
57	0.277682834
58	0.2776458275
59	0.2775583848
60	0.2774630937
61	0.2773587228
62	0.2772431841
63	0.2771514263
64	0.2770774751
65	0.2769955546
66	0.2769383678
67	0.2768669117
68	0.2767914489
69	0.2767802548
70	0.2767032705
71	0.2766233108
72	0.2765484649
73	0.2764750962
74	0.2763945885
75	0.2763168887
76	0.2762368342
77	0.2761435881
78	0.2760731986
79	0.2759695277
80	0.2759002541
81	0.275862844
82	0.2758101973
83	0.2757097323
84	0.2756054741
85	0.2755545716
86	0.2754570547
87	0.2753926155
88	0.2752961651
89	0.2752006157
90	0.2750973099
91	0.2750230887
92	0.2749551361
93	0.2748739712
94	0.2747773457
95	0.2747014503
96	0.2746379958
97	0.2745715437
98	0.2744518109
99	0.2743742285
100	0.274307943
101	0.274239849
102	0.2741465412
103	0.2741173546
104	0.2740370833
105	0.27399593
106	0.2738940527
107	0.2738356834
108	0.273770702
109	0.2737428345
110	0.2736661845
111	0.2735700315
112	0.2734919901
113	0.2734259287
114	0.2733611781
115	0.273282763
116	0.2732017321
117	0.2730962694
118	0.2730418784
119	0.2729820902
120	0.2729394393
121	0.2728773575
122	0.2728134175
123	0.2727300819
124	0.2726517532
125	0.2725721014
126	0.2725347046
127	0.2724704259
128	0.2724152068
129	0.2723131705
130	0.2722371222
131	0.2721779695
132	0.2721083826
133	0.2720241844
134	0.2719539029
135	0.2719038753
136	0.2718244318
137	0.2716963139
138	0.271648777
139	0.2715709783
140	0.2715080422
141	0.2714647966
142	0.271403762
143	0.2713529723
144	0.2712940196
145	0.2712358116
146	0.2711873338
147	0.2711071885
148	0.2710168344
149	0.270918067
150	0.2708683876
151	0.2707980478
152	0.2707328937
153	0.2706723852
154	0.2706235422
155	0.2705585423
156	0.2704791711
157	0.2704109872
158	0.2703424042
159	0.2702413849
160	0.2701605522
161	0.2700524823
162	0.269979818
163	0.2698842131
164	0.2698351269
165	0.2697658901
166	0.26970207167167	0.26962690168168	0.26950348169169	0.26945161170170	0.26938511171171	0.26931611172	0.26842609551173	0.26837887041174174	0.26917931175	0.2682466356
176	0.2681838488
177	0.26809924381178	0.2680296242
179	0.2679707602
180	0.2678997388
181	0.2678490224
182	0.2677763777
183	0.2677079968
184	0.2676341354
185	0.2675539132
186	0.2674776524
187	0.2673927865
188	0.2672948203
189	0.2672211893
190	0.2671664669
191	0.2671127767
192	0.2670494236
193	0.2669990368
194	0.2669111436
195	0.2668521042
196	0.2668074745
197	0.2667237168
198	0.2666702009
199	0.2665916142
200	0.2665293615
201	0.2664395761
202	0.2663880302
203	0.2663411556
204	0.266284263
205	0.2662238236
206	0.2661616083
207	0.2660738038
208	0.2660143231
209	0.2659465474
210	0.2658827685
211	0.2657653603
212	0.2657089373
213	0.2656470674
214	0.2655609357
215	0.2655191938
216	0.2654783169
217	0.2654242605
218	0.2653334897
219	0.2652526852
220	0.2651965237
221	0.2651238939
222	0.2649967307
223	0.2649508618
224	0.2648892988
225	0.2648182088
226	0.2647618379
227	0.2646829109
228	0.2646157285
229	0.2645299772
230	0.2644726632
231	0.2643962882
232	0.264311715
233	0.2642511967
234	0.2641799817
235	0.2641064693
236	0.264035239
237	0.2639469432
238	0.2638605669
239	0.2637717859
240	0.2636817635
241	0.2636227977
242	0.2635246204
243	0.2634625147
244	0.2633856128
245	0.2633399804
246	0.2632688114
247	0.2631837437
248	0.2630951317
249	0.2630368912
250	0.2629823514
251	0.2628919381
252	0.2628229868
253	0.2627282668
254	0.2626423425
255	0.2625301997
256	0.262427745
257	0.2623498981
258	0.2622783923
259	0.2621853477
260	0.2621344633
261	0.262072292
262	0.2619758157
263	0.2619125962
264	0.2618410255
265	0.2617937796
266	0.2616983088
267	0.261624341
268	0.2615486521
269	0.2614297865
270	0.2613765755
271	0.2613356006
272	0.2612469828
273	0.2611789813
274	0.2611146023
275	0.2610273424
276	0.2609560104
277	0.2608957219
278	0.260828567
279	0.2607643105
280	0.2606837855
281	0.2606394127
282	0.2605582619
283	0.2604850153
284	0.2604219933
285	0.260349581
286	0.2602558428
287	0.2601932574
288	0.2601355559
289	0.2600535574
290	0.2599901009
291	0.2598852458
292	0.2597987144
293	0.2597467018
294	0.2596482031
295	0.2595804873
296	0.2595070621
297	0.2594179358
298	0.2593328928
299	0.259270006
300	0.2591684135
301	0.259103392
302	0.2590090439
303	0.2589483483
304	0.2589070481
305	0.2588626149
306	0.2588120676
307	0.2587447446
308	0.2586855483
309	0.2586110562
310	0.2585466951
311	0.2584726593
312	0.2584038623
313	0.2583381157
314	0.2582993953
315	0.2582356051
316	0.2581550996
317	0.2580730895
318	0.2580432159
319	0.2579768074
320	0.2579391718
321	0.2578720434
322	0.2577903333
323	0.2577226781
324	0.2576511978
325	0.2575880798
326	0.257557178
327	0.2575057334
328	0.2574346865
329	0.2573727843
330	0.257304076
331	0.2572143095
332	0.2571625705
333	0.2570767742
334	0.2570356329
335	0.2570022388
336	0.256934244
337	0.2568503529
338	0.2568103772
339	0.2567352745
340	0.2566665911
341	0.256617313
342	0.2565531735
343	0.2564795568
344	0.2564241835
345	0.2563814246
346	0.2563186384
347	0.2562588271
348	0.2561898467
349	0.2561393823
350	0.2560339824
351	0.2559701082
352	0.2559148575
353	0.2558573497
354	0.2557938073
355	0.2557346271
356	0.2556444613
357	0.2555595697
358	0.2554947859
359	0.2554146998
360	0.2553412716
361	0.255276914
362	0.2551956303
363	0.2551252915
364	0.2550678524
365	0.2550148045
366	0.2549710926
367	0.2549178359
368	0.2548724756
369	0.2547844274
370	0.2547128134
37372	0.25482203137373	0.2547774383374	0.25473909183375	0.25470511063376	0.25464227613377	0.2546006157
378	0.25455759923379	0.25451756713380	0.25444996193381	0.25437156538382	0.25431640438383	0.25425247383384	0.25417884384385	0.25411317385386	0.25405004386387	0.25396835387388	0.2539034957
389	0.2538481012
390	0.2537562536
391	0.25370391	0.392	0.2536324718
393	0.25358393	0.394	0.2535086789
395	0.2534277717
396	0.25335396	0.397	0.2532859443
398	0.2532031096
399	0.25312399	0.400	0.25302400	0.401	0.25296401	0.402	0.25290402	0.403	0.25281403	0404	0.252737404	0405	0.2526560765
406	0.2526102485
407	0.2525109547
408	0.252430408	0409	0.252348409	0410	0.252288410	0411	0.2522283161
412	0.2521699422
413	0.252111413	0414	0.252061756
415	0.2520129415	416	0.251962416	0417	0.251890417	0418	0.251820418	0419	0.251754419	0420	0.25168420	0.421	0.2516323223
422	0.2515747828
423	0.2514881764
424	0.25144424	0.425	0.2513962757
426	0.2513330513
427	0.2512427	0.428	0.25116428	0429	0.251089429	0430	0.251052430	0431	0.2509658987
432	0.2508826034
433	0.2508108441
434	0.2507417395
435	0.250677395
436	0.2505971268
437	0.2505130764
438	0.2504532862
439	0.2503791881
440	0.2502889175
441	0.2502261996
442	0.2501785801
443	0.2501182407
444	0.2500626357
445	0.2499857279
446	0.2499239844
447	0.2498441662
448	0.2497551526
449	0.249661724
450	0.24450	0.249451	0.24451	0.249452	0.24452	0.249453	0.24453	0.249454	0.2493202762
455	0.2492480433
456	0.24919777
457	0.2491225017
458	0.2490458	0.2459	0.2490218395
460	0.2489625197
461	0.2488985767
462	0.2488197784
463	0.2487457863
464	0.2487123458
465	0.2486600992
466	0.2486466	0.2467	0.2485467	0.2468	0.2484468	0.2469	0.2483469	0.2470	0.2483470	0.2471	0.2482096362
472	0.2481472	0.2473	0.2481473	0.2474	0.2480474	0.2475	0.248475	0.24476	0.247476	0.24477	0.247477	0.24478	0.24478	0.247479	0.2479	0.2475480	0.2480	0.2474481	0.2481	0.247482	0.24482	0.24483	0.247483	0.24484	0.247484	0.24485	0.247485	0.24486	0.2472578591
487	0.247487	0.24488	0.247488	0.2489	0.2471489	0.490	0.2470490	0.2491	0.2470491	0.2492	0.2469558777
493	0.2469048025
494	0.2468570793
495	0.246495	0.24496	0.2467527014
497	0.2467023026
498	0.2466193012
499	0.2465305013
500	0.246438432
501	0.246501	0.24502	0.246502	0.24503	0.246283202
504	0.2462412475
505	0.2461856887
506	0.2461398149
507	0.2460731672
508	0.2460432979
509	0.2459873278
510	0.2459295633
511	0.2458830789
512	0.2458198944
513	0.2457380678
514	0.2457012734
515	0.2456032764
516	0.2455579787
517	0.2454739837
518	0.2454109499
519	0.2453670044
520	0.2452761743
521	0.2452220083
522	0.2451694146
523	0.2451178622
524	0.2450492288
525	0.2449865933
526	0.2449066973
527	0.2448384969
528	0.2447846445
529	0.2447294164
530	0.2446624209
531	0.2446180177
532	0.2445796875
533	0.2445195668
534	0.2444346434
535	0.2443704608
536	0.2442999733
537	0.2442695767
538	0.2442043125
539	0.2441760467
540	0.2441056735
541	0.2440488246
542	0.2439675142
543	0.2438999279
544	0.2438226475
545	0.243780626
546	0.2436978724
547	0.2436494081
548	0.2436117237
549	0.2435461994
550	0.2434777313
551	0.2434135391
552	0.2433512345
553	0.2432833855
554	0.2432307624
555	0.2431627589
556	0.2431051938
557	0.2430701659
558	0.243030367
559	0.2429603097
560	0.2429152386
561	0.2428684533
562	0.2428286209
563	0.2427873652
564	0.2427227325
565	0.2426571718
566	0.2426080037
567	0.2425759716
568	0.2425467497
569	0.2424809372
570	0.2424142864
571	0.2423523516
572	0.2423059116
573	0.2422469062
574	0.2421784634
575	0.2421054917
576	0.2420140414
577	0.2419502126
578	0.241909837
579	0.2418522715
580	0.2417993665
581	0.241730417
582	0.2416776781
583	0.2416423473
584	0.2415730967
585	0.241492154
586	0.2414184632
587	0.2413386275
588	0.2412931629
589	0.2411996921
590	0.2411394637
591	0.2410957646
592	0.2410631992
593	0.2410078524
594	0.2409440697
595	0.2408950774
596	0.2408698168
597	0.2408195851
598	0.2407757756
599	0.2407329721
600	0.2406935981
601	0.2406403583
602	0.2405751731
603	0.2405229663
604	0.2404911991
605	0.2404276197
606	0.2403338947
607	0.2402995043
608	0.2402420676
609	0.2401845637
610	0.2401251682
611	0.2400687694
612	0.2399955692
613	0.2399445131
614	0.2398762055
615	0.2398270989
616	0.2397716575
617	0.2396980607
618	0.2396651954
619	0.2396430166
620	0.2395840005
621	0.2395145418
622	0.2394677347
623	0.2394201697
624	0.2393835335
625	0.239323139
626	0.239287003
627	0.2392382028
628	0.2392064634
629	0.2391573927
630	0.2391234918
631	0.2390711977
632	0.2390431189
633	0.2389820338
634	0.23893131
635	0.2388693262
636	0.2388115505
637	0.2387490331
638	0.2386426982
639	0.2385913216
640	0.238567984
641	0.2384889849
642	0.2384340002
643	0.2383859281
644	0.2383334229
645	0.2382602151
646	0.238206364
647	0.2381431619
648	0.2381090088
649	0.2380673744
650	0.2380102892
651	0.2379737197
652	0.2379330948
653	0.2379027397
654	0.2378500264
655	0.2378059928
656	0.2377497068
657	0.2376949121
658	0.2376546317
659	0.237627469
660	0.2375816891
661	0.2375239299
662	0.2374768559
663	0.2374127696
664	0.2373545726
665	0.2373174464
666	0.2372698109
667	0.237242565
668	0.2371986009
669	0.2371367169
670	0.2370944964
671	0.2370469028
672	0.2369986897
673	0.2369614497
674	0.2369093919
675	0.2368668348
676	0.2368385392
677	0.2368037484
678	0.2367438019
679	0.236654104
680	0.2366134665
681	0.2365575483
682	0.2364939593
683	0.2364360257
684	0.2363942694
685	0.2363357226
686	0.2362856545
687	0.2362308011
688	0.2361841089
689	0.2361430057
690	0.2360990352
691	0.2360478768
692	0.2359804835
693	0.2359420014
694	0.2358934007
695	0.2357987992
696	0.2357111791
697	0.2356549141
698	0.2356021882
699	0.2355613755
700	0.2355284906
701	0.2354496776
702	0.2354119198
703	0.2353831369
704	0.2353289933
705	0.2353014985
706	0.2352470066
707	0.2351952537
708	0.2351522383
709	0.2351025158
710	0.2350383598
711	0.2350101969
712	0.2349731255
713	0.2349308506
714	0.234860221
715	0.234813412
716	0.234746897
717	0.2347001697
718	0.2346317739
719	0.2345741512
720	0.2345258056
721	0.2344980168
722	0.2344744958
723	0.2343834152
724	0.2343266138
725	0.2342791039
726	0.234241897
727	0.2341912764
728	0.2341523011
729	0.2340968789
730	0.23405044
731	0.2339852184
732	0.2339087071
733	0.233876448
