iter	Passed	Remaining
0	12	12402
1	32	16098
2	43	14621
3	57	14339
4	73	14529
5	95	15872
6	112	15950
7	129	16100
8	141	15614
9	161	15983
10	172	15535
11	187	15460
12	197	15000113	213	15030114	238	15634
15	255	15719
16	269	15561
17	292	15941
18	309	15996
19	324	15906
20	344	16049221	363	16175
22	378	16098
23	388	15798
24	404	15764
25	419	15715
26	437	15749
27	452	15711
28	477	15984
29	496	16040
30	519	16239
31	533	16144
32	554	16255
33	570	16203
34	587	16194
35	606	16237
36	633	16493
37	650	16461
38	665	16406
39	684	16432
40	705	16492
41	726	16570
42	749	16670
43	765	16623
44	777	16509
45	796	16516
46	815	16533
47	828	16427
48	845	16400
49	865	16451
50	883	16435
51	906	16524
52	920	16448
53	930	16294
54	944	16224
55	957	16142
56	977	16173
57	1001	16264
58	1020	16280
59	1039	16278
60	1047	16119
61	1064	16100
62	1085	16144
63	1107	16200
64	1121	16138
65	1137	16097
66	1163	16200
67	1176	16130
68	1188	16032
69	1200	15948
70	1212	15860
71	1225	15797
72	1244	15806
73	1255	15709
74	1265	15613
75	1283	15606
76	1293	15499
77	1309	15475
78	1321	15410
79	1338	15397
80	1350	15319
81	1360	15236
82	1375	15196
83	1391	15173884	1407	15154885	1431	15216886	1454	15259
87	1473	15273
88	1484	15190889	1494	1511489	1696	17156
90	1713	17121
91	1727	17049
92	1739	16968
93	1761	16976
94	1780	16960
95	1795	16910
96	1811	16865
97	1823	16784
98	1838	16733
99	1853	16678
100	1863	16590
101	1875	16510
102	1892	16480
103	1905	16413
104	1917	16105	105	1931	16106	106	1943	16107	1935	15983
108	1953	15965
109	1972	15956
110	1994	15973
111	2013	15962
112	2033	15963
113	2056	15979
114	2074	15964
115	2094	15964
116	2117	15981
117	2131	15933
118	2153	15942
119	2184	16019
120	2206	16026
121	2219	15972
122	2237	15954
123	2269	16031
124	2274	15918
125	2286	15859
126	2303	15837
127	2325	15839
128	2343	15820
129	2364	15822
130	2377	15774
131	2393	15740
132	2404	15673
133	2419	15634
134	2433	15589
135	2445	15536
136	2456	15476
137	2468	15419
138	2482	15378
139	139	2519	15140	140	2534	15141	141	2548	15142	142	2571	15409
143	2591	15407
144	2612	15402
145	2627	15366
146	2649	15375
147	2666	15353
148	2683	15323
149	2698	15290
150	2710	15241
151	2728	15222
152	2748	15213
153	2762	15174
154	2783	15175
155	2807	15190
156	2826	15178
157	2849	15187
158	2875	15209
159	2893	15192
160	2907	15150
161	2916	15087
162	2931	15055
163	2941	14993
164	2957	14966
165	2975	14951
166	2988	14908
167	3004	14879
168	3026	14881
169	3041	14851
170	3068	14878
171	3084	14849
172	3109	14862
173	3130	14861
174	3141	14810
175	3152	14759
176	3168	14730
177	3191	14737
178	3205	14703
179	3220	14672
180	3243	14676
181	3260	14653
182	3282	14654
183	3298	14627
184	3315	14606
185	3329	14572
186	3351	14569
187	3366	14541
188	3382	14514
189	3397	14483
190	3409	14442
191	3427	14425
192	3446	14409
193	3469	14416
194	3480	14369
195	3491	14321
196	3507	14298
197	3518	14250
198	3530	14212
199	3544	14176
200	3560	14153
201	3578	14136
202	3595	14116
203	3616	14111
204	3631	14083
205	3651	14075
206	3664	14039
207	3674	13990
208	3692	13976
209	3711	13962
210	3726	13936
211	3742	13909
212	3754	13873
213	3773	13859
214	3786	13825
215	3805	13812
216	3815	13767
217	3838	13768
218	3853	13742
219	3872	13728
220	3888	13707
221	3905	13687
222	3920	13658
223	3932	13624
224	3948	13599
225	3972	13606
226	3998	13617
227	4018	13606
228	4043	13612
229	4064	13605
230	4077	13574
231	4095	13556
232	4108	13523
233	4130	13522
234	4139	13474
235	4147	13427
236	4159	13392
237	4169	13350
238	4187	13332
239	4200	13301
240	4210	13262
241	4229	13247
242	4256	13260
243	4278	13256
244	4296	13238
245	4317	13234
246	4339	13228
247	4359	13218
248	4372	13187
249	4392	13178
250	4407	13153
251	4427	13141
252	4438	13106
253	4460	13099
254	4474	13071
255	4499	13076
256	4516	13058
257	4532	13035
258	4553	13028
259	4569	13004
260	4582	12975
261	4595	12943
262	4621	12952
263	4638	12932
264	4660	12927
265	4678	12911
266	4691	12879
267	4708	12859
268	4725	12841
269	4743	12825
270	4761	12809
271	4773	12775
272	4791	12758
273	4806	12735
274	4820	12708
275	4833	12680
276	4849	12657
277	4860	12623
278	4879	12610
279	4901	12604
280	4920	12589
281	4937	12570
282	4962	12572
283	4983	12563
284	4997	12285	285	5018	12286	286	5035	12287	287	5047	12288	288	5062	12289	5048	12361
290	5068	12349
291	5093	12351
292	5108	12326
293	5125	12307
294	5144	12293
295	5160	12272
296	5178	12258
297	5198	12245
298	5208	12211
299	5225	12192
300	5245	12182
301	5263	12166
302	5283	12153
303	5298	12131
304	5313	12108
305	5334	12099
306	5346	12068
307	5361	12045
308	5375	12020
309	5388	11993
310	5400	11965
311	5419	11951
312	5439	11938
313	5460	11929
314	5473	11903
315	5486	11875
316	5498	11846
317	5513	11823
318	5527	11800
319	5542	11777
320	5563	11768
321	5588	11766
322	5606	11751
323	5621	11728
324	5642	11719
325	5653	11687
326	5672	11675
327	5695	11669
328	5708	11641
329	5721	11616
330	5739	11599
331	5752	11573
332	5762	11541
333	5769	11503
334	5777	11468
335	5786	11436
336	5794	11400
337	5803	11366
338	5815	11338
339	5822	11301
340	5830	11267
341	5839	11234
342	5848	11201
343	5855	11167
344	5865	11135
345	5889	11132
346	5896	11096
347	5906	11066
348	5913	11030
349	5922	10998
350	5931	10967
351	5943	10941
352	5953	10911
353	5960	10877
354	5970	10847
355	5981	10821
356	5995	10797
357	6003	10765
358	6010	10731
359	6016	10696
360	6022	10660
361	6028	10625
362	6038	10596
363	6045	10562
364	6051	10528
365	6057	10492
366	6063	10459
367	6070	10424
368	6075	10389
369	6081	10354
370	6086	10319
371	6093	10287
372	6100	10254
373	6106	10220
374	6111	10186
375	6117	10152
376	6124	10121
377	6130	10086
378	6136	10055
379	6141	10021
380	6147	9988
381	6153	9954
382	6159	9922
383	6165	9890
384	6171	9857
385	6177	9826
386	6192	9808
387	6198	9777
388	6206	9748
389	6214	9720
390	6220	9689
391	6228	9660
392	6233	9628
393	6238	9595
394	6244	9564
395	6250	9533
396	6256	9502
397	6262	9472
398	6269	9443
399	6275	9413
400	6281	9383
401	6287	9353
402	6294	9324
403	6301	9296
404	6308	9268
405	6315	9239
406	6321	9210
407	6328	9182
408	6333	9152
409	6339	9122
410	6345	9094
411	6352	9065
412	6358	9037
413	6364	9008
414	6370	8980
415	6375	8950
416	6381	8921
417	6387	8894
418	6393	8865
419	6398	8836
420	6405	8809
421	6410	8780
422	6417	8753
423	6422	8724
424	6428	8696
425	6433	8669
426	6439	8641
427	6446	8614
428	6451	8586
429	6458	8560
430	6464	8533
431	6469	8506
432	6477	8481
433	6483	8454
434	6489	8429
435	6500	8409
436	6507	8383
437	6512	8356
438	6518	8329
439	6523	8303
440	6529	8276
441	6535	8251
442	6541	8224
443	6549	8201
444	6556	8177
445	6564	8154
446	6570	8128
447	6578	8105
448	6585	8081
449	6593	8058
450	6599	8033
451	6605	8009
452	6612	7984
453	6618	7959
454	6626	7936
455	6632	7912
456	6640	7890
457	6646	7865
458	6654	7843
459	6664	7823
460	6673	7802
461	6681	7781
462	6688	7757
463	6696	7735
464	6702	7711
465	6708	7686
466	6714	7663
467	6721	7640
468	6728	7618
469	6734	7594
470	6740	7570
471	6747	7547
472	6753	7524
473	6759	7501
474	6765	7477
475	6771	7454
476	6777	7430
477	6785	7410
478	6792	7388
479	6802	7369
480	6809	7347
481	6816	7325
482	6829	7309
483	6834	7286
484	6840	7263
485	6847	7241
486	6853	7219
487	6860	7197
488	6865	7174
489	6872	7152
490	6879	7131
491	6885	7109
492	6892	7087
493	6897	7064
494	6903	7042
495	6909	7021
496	6915	6998
497	6921	6976
498	6926	6954
499	6932	6932
500	6937	6910
501	6943	6887
502	6948	6866
503	6954	6844
504	6960	6822
505	6966	6800
506	6974	6781
507	6982	6762
508	6988	6741
509	6994	6720
510	7000	6699
511	7007	6678
512	7013	6657
513	7019	6637
514	7025	6616
515	7031	6595
516	7036	6574
517	7042	6553
518	7050	6533
519	7055	6513
520	7062	6493
521	7069	6473
522	7074	6452
523	7080	6432
524	7086	6411
525	7093	6392
526	7099	6372
527	7105	6351
528	7110	6331
529	7116	6311
530	7122	6290
531	7128	6270
532	7140	6256
533	7146	6236
534	7152	6216
535	7160	6198
536	7167	6179
537	7172	6159
538	7178	6139
539	7184	6120
540	7190	6100
541	7195	6080
542	7201	6061
543	7207	6041
544	7213	6022
545	7219	6002
546	7226	5984
547	7231	5964
548	7236	5944
549	7242	5925
550	7248	5906
551	7255	5888
552	7261	5869
553	7266	5849
554	7272	5830
555	7278	5811
556	7285	5794
557	7292	5776
558	7298	5758
559	7305	5740
560	7311	5721
561	7317	5702
562	7322	5683
563	7329	5665
564	7335	5647
565	7340	5628
566	7346	5610
567	7352	5592
568	7359	5574
569	7365	5556
570	7371	5538
571	7377	5520
572	7383	5502
573	7388	5483
574	7394	5465
575	7401	5448
576	7406	5429
577	7412	5411
578	7418	5394
579	7424	5376
580	7430	5358
581	7435	5340
582	7441	5322
583	7451	5307
584	7457	5290
585	7462	5272
586	7468	5254
587	7474	5237
588	7480	5219
589	7486	5202
590	7492	5184
591	7496	5166
592	7502	5149
593	7508	5132
594	7513	5114
595	7522	5098
596	7528	5081
597	7536	5066
598	7542	5049
599	7548	5032
600	7554	5015
601	7561	4999
602	7567	4982
603	7573	4965
604	7579	4948
605	7585	4932
606	7593	4916
607	7600	4900
608	7606	4883
609	7611	4866
610	7617	4849
611	7625	4834
612	7631	4817
613	7638	4802
614	7644	4785
615	7650	4769
616	7656	4752
617	7661	4735
618	7668	4720
619	7673	4703
620	7679	4687
621	7685	4670
622	7691	4654
623	7697	4638
624	7702	4621
625	7709	4606
626	7715	4589
627	7720	4573
628	7729	4559
629	7735	4543
630	7748	4531
631	7754	4515
632	7761	4499
633	7767	4483
634	7772	4467
635	7778	4451
636	7783	4435
637	7788	4419
638	7793	4403
639	7799	4387
640	7805	4371
641	7811	4356
642	7817	4340
643	7826	4326
644	7832	4310
645	7837	4295
646	7844	4279
647	7849	4264
648	7855	4248
649	7861	4233
650	7866	4217
651	7872	4201
652	7877	4186
653	7883	4170
654	7889	4155
655	7895	4140
656	7901	4125
657	7907	4109
658	7915	4095
659	7920	4080
660	7925	4064
661	7932	4050
662	7937	4034
663	7943	4019
664	7949	4004
665	7955	3989
666	7961	3974
667	7967	3959
668	7973	3945
669	7979	3929
670	7984	3914
671	7991	3900
672	7997	3885
673	8002	3870
674	8010	3856
675	8015	3841
676	8021	3827
677	8027	3812
678	8033	3797
679	8038	3782
680	8044	3768
681	8056	3756
682	8061	3741
683	8067	3727
684	8073	3712
685	8079	3698
686	8086	3684
687	8091	3669
688	8097	3655
689	8103	3640
690	8110	3626
691	8116	3612
692	8122	3598
693	8127	3583
694	8132	3569
695	8138	3554
696	8144	3540
697	8150	3526
698	8155	3511
699	8160	3497
700	8167	3483
701	8172	3469
702	8178	3455
703	8185	3441
704	8191	3427
705	8199	3414
706	8204	3400
707	8213	3387
708	8219	3373
709	8229	3361
710	8234	3347
711	8241	3333
